               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.030573,            0.026355,           0.0053172,             0.66969,             0.21064,             0.24337,             0.11636,            0.051973,            0.040306,            0.028193,            0.001222,            0.001222,            0.001222
                 135,            0.031724,            0.029288,           0.0055809,             0.40562,             0.24003,             0.23489,             0.11084,            0.052761,            0.040298,             0.02842,            0.001156,            0.001156,            0.001156
                 136,            0.030912,            0.028347,           0.0050418,              0.4416,             0.22625,             0.21692,             0.10788,             0.05274,             0.04023,            0.028497,             0.00109,             0.00109,             0.00109
                 137,            0.030215,             0.02599,            0.004709,             0.52377,             0.24284,             0.21855,             0.10713,            0.052789,            0.040428,            0.028536,            0.001024,            0.001024,            0.001024
                 138,              0.0295,            0.025191,           0.0064778,             0.55121,             0.22492,             0.22823,             0.10979,            0.052844,            0.040817,             0.02858,            0.000958,            0.000958,            0.000958
                 139,            0.029544,            0.025055,           0.0055398,             0.54698,             0.21498,             0.22906,             0.10457,             0.05308,            0.040878,            0.028342,            0.000892,            0.000892,            0.000892
                 140,            0.029373,            0.026574,           0.0051276,             0.44162,             0.24141,             0.21778,             0.10251,            0.053196,            0.040649,            0.028381,            0.000826,            0.000826,            0.000826
                 141,            0.029927,            0.026794,           0.0048768,             0.43449,             0.25352,              0.2189,             0.10709,            0.052785,             0.04068,            0.028403,             0.00076,             0.00076,             0.00076
                 142,            0.030685,            0.030297,           0.0051707,              0.5122,             0.22683,             0.21441,              0.1044,            0.053357,            0.040833,            0.028531,            0.000694,            0.000694,            0.000694
                 143,             0.03077,             0.03059,           0.0056428,             0.42382,             0.23905,             0.21559,             0.10454,            0.053231,            0.041046,            0.028553,            0.000628,            0.000628,            0.000628
                 144,            0.029932,            0.025117,           0.0039104,             0.43383,             0.24727,              0.2187,              0.1058,            0.052918,             0.04097,            0.028658,            0.000562,            0.000562,            0.000562
                 145,            0.030578,            0.027866,           0.0044434,             0.44208,             0.26345,             0.22579,             0.11093,            0.052748,            0.041031,            0.028669,            0.000496,            0.000496,            0.000496
                 146,            0.028896,            0.027592,           0.0046646,             0.45738,             0.25862,             0.23388,             0.11227,            0.052873,            0.041191,            0.028553,             0.00043,             0.00043,             0.00043
                 147,            0.028254,            0.024733,           0.0046711,             0.49394,             0.25307,             0.22501,             0.11154,             0.05226,            0.041359,            0.028553,            0.000364,            0.000364,            0.000364
                 148,            0.029694,             0.03166,           0.0042077,             0.78682,             0.18313,             0.22855,             0.11105,             0.05293,            0.041367,             0.02847,            0.000298,            0.000298,            0.000298
                 149,            0.028372,            0.027308,             0.00517,             0.41128,             0.23757,             0.21947,             0.10959,            0.052552,            0.041443,            0.028282,            0.000232,            0.000232,            0.000232
